locationid,day_of_week,hour,norm_value
4,0,0,0.06941471589346902
4,0,1,0.037993831307828296
4,0,2,0.022208052613602494
4,0,3,0.014333414803964327
4,0,4,0.010456858781669886
4,0,5,0.011248867182868978
4,0,6,0.022903122552133726
4,0,7,0.049495348137811576
4,0,8,0.07738606543860141
4,0,9,0.06617964662101183
4,0,10,0.06403148222688201
4,0,11,0.06940007939481777
4,0,12,0.08609294312679844
4,0,13,0.09647840804069274
4,0,14,0.10902700134217444
4,0,15,0.12758693815683803
4,0,16,0.15376924101264816
4,0,17,0.2132465300791635
4,0,18,0.22835245474739743
4,0,19,0.19961244264621242
4,0,20,0.16890922514073833
4,0,21,0.15781302092142627
4,0,22,0.1446981135241096
4,0,23,0.11014630301441836
4,1,0,0.06942741261519059
4,1,1,0.03300228142958833
4,1,2,0.018737791686398185
4,1,3,0.011245844153887638
4,1,4,0.008320333049118177
4,1,5,0.009599200267759712
4,1,6,0.023754155594193173
4,1,7,0.05209971279713158
4,1,8,0.08303111860687937
4,1,9,0.06639350072953243
4,1,10,0.06503349037465049
4,1,11,0.07173050724461333
4,1,12,0.08757765342716003
4,1,13,0.09986558605472695
4,1,14,0.11791863648494683
4,1,15,0.13394804612315928
4,1,16,0.16183400215330349
4,1,17,0.24014544195499685
4,1,18,0.266969483479726
4,1,19,0.2215502868527008
4,1,20,0.19181977930578453
4,1,21,0.1794242520383906
4,1,22,0.16494789834742588
4,1,23,0.12405374784300581
4,2,0,0.08062712282763243
4,2,1,0.04200567759391591
4,2,2,0.025009175432784875
4,2,3,0.015862895443770564
4,2,4,0.012042364425841346
4,2,5,0.012504687044487515
4,2,6,0.025377384681323136
4,2,7,0.05293767807665045
4,2,8,0.08216839687930987
4,2,9,0.06987835784833489
4,2,10,0.0663200530014715
4,2,11,0.07498250583925034
4,2,12,0.09363051140559679
4,2,13,0.10279452145958658
4,2,14,0.11645173722355125
4,2,15,0.14002162372630336
4,2,16,0.1651988374639749
4,2,17,0.2328494896274153
4,2,18,0.2586493663612493
4,2,19,0.23396976154800844
4,2,20,0.19493752014497925
4,2,21,0.1858452001436284
4,2,22,0.17358101124940337
4,2,23,0.1382650560284952
4,3,0,0.09171385165051009
4,3,1,0.0476791990579723
4,3,2,0.02906387243491398
4,3,3,0.01911142079403868
4,3,4,0.013128690969933833
4,3,5,0.010685492982718352
4,3,6,0.026636020638391548
4,3,7,0.04995448290042006
4,3,8,0.07885496061889345
4,3,9,0.06768045059197056
4,3,10,0.06694249250941997
4,3,11,0.07543844662778629
4,3,12,0.09441339061915667
4,3,13,0.102534257018399
4,3,14,0.11697733183877655
4,3,15,0.13881530884332927
4,3,16,0.1638623779443951
4,3,17,0.23639711670405536
4,3,18,0.2619412235930051
4,3,19,0.23765480904422032
4,3,20,0.20989394739286096
4,3,21,0.19775252802418042
4,3,22,0.1937087322804886
4,3,23,0.17104379922017507
4,4,0,0.12410690276926077
4,4,1,0.07975292078762194
4,4,2,0.04917130462292168
4,4,3,0.027438850043806157
4,4,4,0.018206317999573
4,4,5,0.013705632452175763
4,4,6,0.02325643906432613
4,4,7,0.05137972806141258
4,4,8,0.08896084033756547
4,4,9,0.08190960004671582
4,4,10,0.07820273671790645
4,4,11,0.08410265642121832
4,4,12,0.10409596242737736
4,4,13,0.11721157519812299
4,4,14,0.13412711020648643
4,4,15,0.15771245482398083
4,4,16,0.18253696421282867
4,4,17,0.22713961552008968
4,4,18,0.24860589239739952
4,4,19,0.2432618825318452
4,4,20,0.2325504091342231
4,4,21,0.2323498815451285
4,4,22,0.23531804255044284
4,4,23,0.2424599485188241
4,5,0,0.22283202594887458
4,5,1,0.18335988308536177
4,5,2,0.13579753525393415
4,5,3,0.08647218211250571
4,5,4,0.052761882103582736
4,5,5,0.022762224209695786
4,5,6,0.017865244754754962
4,5,7,0.030513068982548665
4,5,8,0.04496559112837725
4,5,9,0.07285058986601074
4,5,10,0.09894341106397365
4,5,11,0.1144571927256047
4,5,12,0.14003360499783268
4,5,13,0.1499650361506401
4,5,14,0.15628225981291577
4,5,15,0.17449172680101105
4,5,16,0.1906833219440716
4,5,17,0.2083056915120853
4,5,18,0.21553586992672125
4,5,19,0.22476502625525857
4,5,20,0.22017165967767555
4,5,21,0.22550289724578376
4,5,22,0.23549798835055624
4,5,23,0.2433190933553168
4,6,0,0.2176073501523581
4,6,1,0.18386246165350711
4,6,2,0.13414141921033138
4,6,3,0.0882103230091351
4,6,4,0.05578806007343034
4,6,5,0.02339151807597502
4,6,6,0.01803753221478234
4,6,7,0.03243745365633588
4,6,8,0.04151757465609388
4,6,9,0.06330467048404684
4,6,10,0.07992367154125048
4,6,11,0.09955464233208947
4,6,12,0.1199606925618321
4,6,13,0.1340801524896432
4,6,14,0.139101025749002
4,6,15,0.14610301585936422
4,6,16,0.15531297595387014
4,6,17,0.16459148323052764
4,6,18,0.18308254536823337
4,6,19,0.1669663496063487
4,6,20,0.14937466378249545
4,6,21,0.14623126786389695
4,6,22,0.1310779068325644
4,6,23,0.10770049622516886
12,0,0,0.0011122731298623058
12,0,1,0.0004940637031812682
12,0,2,0.0004398759086910102
12,0,3,0.0003241190906144319
12,0,4,0.0002477876088359609
12,0,5,0.001437399896803832
12,0,6,0.0012813864094592695
12,0,7,0.006222930349966439
12,0,8,0.02322235441256168
12,0,9,0.02543206263836966
12,0,10,0.020280141072670396
12,0,11,0.015982628264726403
12,0,12,0.01614614894070792
12,0,13,0.014241313187666615
12,0,14,0.010410203367724769
12,0,15,0.008685212647164145
12,0,16,0.010394357657480993
12,0,17,0.00896884834133701
12,0,18,0.007570193599310465
12,0,19,0.004987292445757877
12,0,20,0.0026900927228487247
12,0,21,0.002305412284975068
12,0,22,0.0017340094236882172
12,0,23,0.0010059128935360044
12,1,0,0.0007034336520462232
12,1,1,0.0005177189049601406
12,1,2,0.0002625500670280985
12,1,3,0.00030096772699910867
12,1,4,0.00020936994886495218
12,1,5,0.0013905933314096377
12,1,6,0.0015070303310070216
12,1,7,0.006337679491715925
12,1,8,0.022809635380886237
12,1,9,0.02812449820867894
12,1,10,0.019783885673477664
12,1,11,0.015105874284417502
12,1,12,0.012746551315942108
12,1,13,0.010519107986777017
12,1,14,0.008971795794593798
12,1,15,0.007797903257328795
12,1,16,0.009741584932780135
12,1,17,0.009389427248363906
12,1,18,0.007849521477184929
12,1,19,0.005744410054130819
12,1,20,0.002949292266089193
12,1,21,0.002423688293869416
12,1,22,0.0021748930087063406
12,1,23,0.001726628194592145
12,2,0,0.0010060942752748816
12,2,1,0.0005787848101517157
12,2,2,0.00034230944774074856
12,2,3,0.00025152356881872
12,2,4,0.0002841031840117386
12,2,5,0.0004574058779386686
12,2,6,0.0017161908271497073
12,2,7,0.006800473199045013
12,2,8,0.02132785274013928
12,2,9,0.026284995150305714
12,2,10,0.019997849546741015
12,2,11,0.01499474306056674
12,2,12,0.012836815362480453
12,2,13,0.010948613106640082
12,2,14,0.00949516992305544
12,2,15,0.0080989397222488
12,2,16,0.008822222078748249
12,2,17,0.008478894518032718
12,2,18,0.00682108377877841
12,2,19,0.004411682175920941
12,2,20,0.0028203467643127715
12,2,21,0.0021415137303708756
12,2,22,0.00191611345056363
12,2,23,0.0009955158331466543
12,3,0,0.001053722096875657
12,3,1,0.0004957713546713142
12,3,2,0.00022820629849383144
12,3,3,0.0001981098856783243
12,3,4,0.0002597926327358486
12,3,5,0.0009220875388434671
12,3,6,0.00124224682137676
12,3,7,0.006135173618060574
12,3,8,0.02099679219916867
12,3,9,0.02410295555713372
12,3,10,0.018579643004893346
12,3,11,0.014459439124045344
12,3,12,0.014212683303791452
12,3,13,0.012455122325032271
12,3,14,0.010700864005435181
12,3,15,0.008352276028803115
12,3,16,0.00854986444198216
12,3,17,0.008939776879299931
12,3,18,0.007768475149848803
12,3,19,0.004985003940842132
12,3,20,0.0033078490550669613
12,3,21,0.0026819330637899643
12,3,22,0.0030325115754478485
12,3,23,0.0018797345357330017
12,4,0,0.0015098770166311203
12,4,1,0.000688671193854084
12,4,2,0.0006650159920752145
12,4,3,0.00028570143064342177
12,4,4,0.00033351567236471305
12,4,5,0.0007502402174404115
12,4,6,0.0014320340203619884
12,4,7,0.0057543608578610106
12,4,8,0.021524444993292105
12,4,9,0.02569899609742069
12,4,10,0.023982570625640486
12,4,11,0.018299452484106003
12,4,12,0.01772046685845765
12,4,13,0.01594834207769653
12,4,14,0.014139437110995957
12,4,15,0.012214296679963411
12,4,16,0.013070368103658409
12,4,17,0.009237268122970524
12,4,18,0.00796243160963743
12,4,19,0.0056219521884789654
12,4,20,0.004448613873193873
12,4,21,0.0040587187103274264
12,4,22,0.003386648983962446
12,4,23,0.002386278310225526
12,5,0,0.0016360380927850928
12,5,1,0.000906933886305774
12,5,2,0.0010758708225455087
12,5,3,0.00046605030128764926
12,5,4,0.0008443571863923449
12,5,5,0.0005177189049601333
12,5,6,0.0010778861751997246
12,5,7,0.004563892045015076
12,5,8,0.018975275804789467
12,5,9,0.024759841760555595
12,5,10,0.023920296228625185
12,5,11,0.02391588764469408
12,5,12,0.022972853753969628
12,5,13,0.022290354577619072
12,5,14,0.019473370213279186
12,5,15,0.01761700369157179
12,5,16,0.014215894552315311
12,5,17,0.012202859553650735
12,5,18,0.010164506687267556
12,5,19,0.0066327271202932915
12,5,20,0.0052892678490841115
12,5,21,0.003421212281982268
12,5,22,0.0027114050771670584
12,5,23,0.0023206785813307653
12,6,0,0.0015177620838907376
12,6,1,0.0011562330096324058
12,6,2,0.0011305624551993202
12,6,3,0.0008123130791902957
12,6,4,0.000772560248085858
12,6,5,0.001902442521764384
12,6,6,0.0013617485965461797
12,6,7,0.004810016987911322
12,6,8,0.01634972475069201
12,6,9,0.01918094254315231
12,6,10,0.018298621151136132
12,6,11,0.01768441723785534
12,6,12,0.017289282158087945
12,6,13,0.014090489233406653
12,6,14,0.014869045155638834
12,6,15,0.012455206897866866
12,6,16,0.010936739440547133
12,6,17,0.008650095127164425
12,6,18,0.007088877001667109
12,6,19,0.005830641955823138
12,6,20,0.0036738619290965393
12,6,21,0.00271677095360892
12,6,22,0.0021644887506289522
12,6,23,0.0012921181623429855
13,0,0,0.033713146694547
13,0,1,0.01610894049232944
13,0,2,0.007179391527749616
13,0,3,0.00414550483399963
13,0,4,0.005539322729656061
13,0,5,0.02476959102902038
13,0,6,0.12534798212563575
13,0,7,0.25334401167937165
13,0,8,0.38833807621388594
13,0,9,0.29131658101669805
