locationid,zone_name,mae,bias,n
13,Battery Park City,0.04354567841218725,-0.03845420641416411,744
113,Greenwich Village North,0.041065277488865744,-0.03891465323738451,744
246,West Chelsea/Hudson Yards,0.040911378472163897,-0.019054668483160044,744
158,Meatpacking/West Village West,0.03876666236073713,-0.026180046567221386,744
43,Central Park,0.03862777886305492,-0.033854028704284805,744
170,Murray Hill,0.03809618207835171,-0.02584997087632349,744
68,East Chelsea,0.03501420935962972,-0.027541794564184967,744
163,Midtown North,0.03476028584048173,-0.031491078547534655,744
234,Union Sq,0.03283203502586826,-0.01775077282494453,744
249,West Village,0.03160517546593654,-0.02062563934299758,744
231,TriBeCa/Civic Center,0.031196043702692817,-0.013317297163011407,744
87,Financial District North,0.03066062655824739,-0.025091936723057835,744
79,East Village,0.03055585677477784,-0.00798491095567783,744
186,Penn Station/Madison Sq West,0.029982018959902056,-0.01831037539620415,744
261,World Trade Center,0.02916533357025719,-0.028441830357379006,744
237,Upper East Side South,0.02830950991531969,-0.0026756651526221756,744
148,Lower East Side,0.02807223293231392,-0.019962346702832888,744
137,Kips Bay,0.0280591454839622,-0.01766531212648948,744
48,Clinton East,0.02795313803708667,-0.02310051910558171,744
230,Times Sq/Theatre District,0.026670004978278185,-0.015681441644559427,744
236,Upper East Side North,0.026071210444090703,0.0009840917986571227,744
161,Midtown Center,0.02569098622328668,-0.012297581170734326,744
50,Clinton West,0.02499934571045606,-0.012243699319624405,744
142,Lincoln Square East,0.02498816189787777,-0.010631554513283441,744
100,Garment District,0.024911786995325157,-0.021325038262608308,744
114,Greenwich Village South,0.02343622508511696,-0.015876047958142993,744
144,Little Italy/NoLiTa,0.02249248027070355,-0.013545901355582693,744
239,Upper West Side South,0.02223149300399695,-0.00825590681737246,744
162,Midtown East,0.02194976810185689,-0.008671700035999043,744
244,Washington Heights South,0.021944386478432432,-0.019958305932097478,744
229,Sutton Place/Turtle Bay North,0.02151691698730511,-0.010695623264796155,744
232,Two Bridges/Seward Park,0.021382389559965506,-0.009723907769492135,744
166,Morningside Heights,0.02130253382257459,-0.0033440586238382593,744
211,SoHo,0.02104537783609686,-0.011633017382399568,744
143,Lincoln Square West,0.020742370885207775,-0.008110893612055739,744
233,UN/Turtle Bay South,0.020680527982929867,-0.010670766929263662,744
164,Midtown South,0.020313629058994927,-0.012119384530431728,744
238,Upper West Side North,0.020144916117693167,0.006578692253296113,744
75,East Harlem South,0.020012094358692934,-0.016749115495564106,744
107,Gramercy,0.019633267613776657,-0.006427312336968255,744
4,Alphabet City,0.019419199538619484,-0.0123547699914922,744
141,Lenox Hill West,0.019401123250323216,-0.007080187500770451,744
90,Flatiron,0.01930799773373637,-0.003503541785037404,744
74,East Harlem North,0.01914109138694134,-0.015216853777410767,744
140,Lenox Hill East,0.01903519920022454,-0.005366287675637863,744
125,Hudson Sq,0.01882522989970441,-0.009771511518084988,744
224,Stuy Town/Peter Cooper Village,0.01809626977019201,-0.012178020572551298,744
41,Central Harlem,0.017552093252420818,-0.013228458276034407,744
42,Central Harlem North,0.01691366405575603,-0.013542391084140857,744
263,Yorkville West,0.016455645855457862,-0.0038031313969424056,744
262,Yorkville East,0.016272402110902237,-0.0019026188753321206,744
209,Seaport,0.01521640223833594,-0.012104600290693435,744
151,Manhattan Valley,0.013647576528544772,-0.008149521185615311,744
243,Washington Heights North,0.012829769328334897,-0.009934576974252096,744
45,Chinatown,0.012396707078832407,-0.006444844103459577,744
116,Hamilton Heights,0.011762241179433966,-0.009310826179518715,744
88,Financial District South,0.010491357562401942,-0.004451342087043088,744
127,Inwood,0.010415697923976714,-0.0071570415895798895,744
152,Manhattanville,0.009544441809541598,-0.00604372207553652,744
194,Randalls Island,0.008786948940183312,-0.0027908959630145933,744
24,Bloomingdale,0.007794058206921498,-0.003604439561220322,744
202,Roosevelt Island,0.007364599948618121,-0.005700665224012217,744
12,Battery Park,0.0070020742022991935,-0.005925352882368437,744
153,Marble Hill,0.005271679834040941,-0.004342027494758048,744
120,Highbridge Park,0.005223332588498141,-0.003937676062332165,744
128,Inwood Hill Park,0.004962471939633237,-0.0037241210822960866,744
